videoid,contentUrl,duration,caption
21179416,https://ak.picdn.net/shutterstock/videos/21179416/preview/stock-footage-aerial-shot-winter-forest.mp4,PT00H00M11S,Aerial shot winter forest
5629184,https://ak.picdn.net/shutterstock/videos/5629184/preview/stock-footage-senior-couple-looking-through-binoculars-on-sailboat-together-shot-on-red-epic-for-high-quality-k.mp4,PT00H00M29S,"Senior couple looking through binoculars on sailboat together. shot on red epic for high quality 4k, uhd, ultra hd resolution."
1063125190,https://ak.picdn.net/shutterstock/videos/1063125190/preview/stock-footage-a-beautiful-cookie-with-oranges-lies-on-a-green-tablecloth.mp4,PT00H00M07S,A beautiful cookie with oranges lies on a green tablecloth
1039695998,https://ak.picdn.net/shutterstock/videos/1039695998/preview/stock-footage-japanese-highrise-office-skyscrapers-tokyo-square.mp4,PT00H00M08S,Japanese highrise office skyscrapers tokyo square
9607838,https://ak.picdn.net/shutterstock/videos/9607838/preview/stock-footage-zrenjanin-serbia-march-fans-watching-live-concert-bokeh-blur-urban-background-x.mp4,PT00H00M32S,"Zrenjanin,serbia march 21 2015: fans watching live concert bokeh blur urban background 1920x1080 full hd footage"
21157780,https://ak.picdn.net/shutterstock/videos/21157780/preview/stock-footage-young-beautiful-woman-using-smartphone-in-cafe.mp4,PT00H00M09S,Young beautiful woman using smartphone in cafe
1016180245,https://ak.picdn.net/shutterstock/videos/1016180245/preview/stock-footage--d-render-of-inky-injections-into-water-with-luma-matte-blue-ink-on-white-background.mp4,PT00H00M30S,3d render of inky injections into water with luma matte. blue ink on white background 5
19107358,https://ak.picdn.net/shutterstock/videos/19107358/preview/stock-footage-swimming-in-the-pool-slow-motion-fps-handheld-camera-balanced-steady-shot.mp4,PT00H00M07S,"Swimming in the pool ,slow motion 120 fps,handheld camera balanced steady shot"
1036840850,https://ak.picdn.net/shutterstock/videos/1036840850/preview/stock-footage-circa-s-usa-woman-posing-for-camera-next-to-vintage-car.mp4,PT00H00M36S,Circa 1940s usa:  woman posing for camera next to vintage car
13347398,https://ak.picdn.net/shutterstock/videos/13347398/preview/stock-footage-timor-leste-scanned-by-software.mp4,PT00H00M05S,Timor-leste scanned by software
1026436784,https://ak.picdn.net/shutterstock/videos/1026436784/preview/stock-footage-fabulous-dark-background-of-water-in-the-river.mp4,PT00H00M11S,Fabulous dark background of water in the river
9000853,https://ak.picdn.net/shutterstock/videos/9000853/preview/stock-footage-new-york-city-with-ravenswood-in-western-part-of-borough-of-queens-queensboro-bridge-and-manhattan.mp4,PT00H00M20S,"New-york city with ravenswood in western part of borough of queens, queensboro bridge and manhattan skyscrapers at summer morning during sunrise. aerial view in timelapse"
1047392872,https://ak.picdn.net/shutterstock/videos/1047392872/preview/stock-footage-red-squirrel-bushy-tail-sitting-watching-on-tree-branch-slow-motion.mp4,PT00H00M15S,Red squirrel bushy tail sitting watching on tree branch slow motion
30436075,https://ak.picdn.net/shutterstock/videos/30436075/preview/stock-footage-aquarium-fish-on-white-background-top-view.mp4,PT00H00M26S,"Aquarium fish on white background,top view"
6248114,https://ak.picdn.net/shutterstock/videos/6248114/preview/stock-footage-yacht-sailing-at-horizon-over-water-on-calm-ocean-waves-summer-outdoor-holiday-concept-shot.mp4,PT00H00M19S,Yacht sailing at horizon over water on calm ocean waves. summer outdoor holiday concept shot.
1041349231,https://ak.picdn.net/shutterstock/videos/1041349231/preview/stock-footage-fans-are-worried-at-the-tv-married-couple-watching-football-at-home.mp4,PT00H00M20S,Fans are worried at the tv. married couple watching football at home.
22517557,https://ak.picdn.net/shutterstock/videos/22517557/preview/stock-footage-yellow-color-splash-slow-motion-clear-liquid.mp4,PT00H00M29S,Yellow color splash slow motion. clear liquid
10807676,https://ak.picdn.net/shutterstock/videos/10807676/preview/stock-footage-milk-drop-and-spots.mp4,PT00H01M00S,Milk drop and spots 6
3280088,https://ak.picdn.net/shutterstock/videos/3280088/preview/stock-footage-heavy-machine-tractor-agriculture-field-work-in-end-of-summer.mp4,PT00H00M20S,Heavy machine tractor agriculture field work in end of summer.
1022584264,https://ak.picdn.net/shutterstock/videos/1022584264/preview/stock-footage-husband-and-wife-admire-the-view-from-their-terrace-balcony-of-new-house-apartment-and-the.mp4,PT00H00M19S,Husband and wife admire the view from their terrace balcony of new house apartment and the beautiful panoramic view and the summer sun on their faces. handheld stabilized
1032669275,https://ak.picdn.net/shutterstock/videos/1032669275/preview/stock-footage-abstract-background-with-beautiful-color.mp4,PT00H00M10S,Abstract background with beautiful color
1016442058,https://ak.picdn.net/shutterstock/videos/1016442058/preview/stock-footage-sea-and-beach-diagonally.mp4,PT00H00M26S,Sea and beach. diagonally.
5770451,https://ak.picdn.net/shutterstock/videos/5770451/preview/stock-footage-afghanistan-circa-soldier-driving-a-humvee-follows-an-mrap-down-a-highway-in-afghanistan.mp4,PT00H00M27S,"Afghanistan, circa 2008: soldier driving a humvee follows an mrap down a highway in afghanistan, circa 2008"
18053848,https://ak.picdn.net/shutterstock/videos/18053848/preview/stock-footage--in-video-the-hand-catch-pencil-and-work-with-blueprint-engineer-project-wide-angle-variable.mp4,PT00H00M32S,2 in 1 video!the hand catch pencil and work with blueprint engineer project. wide angle. variable playback speed capture
6761770,https://ak.picdn.net/shutterstock/videos/6761770/preview/stock-footage-icelandic-sunset-navy-blue-pink.mp4,PT00H00M07S,"Icelandic sunset-navy blue ,pink,"
1017176851,https://ak.picdn.net/shutterstock/videos/1017176851/preview/stock-footage-seascape-of-coral-reef-caribbean-sea-curacao-with-various-hard-and-soft-corals-sponges.mp4,PT00H00M30S,"Seascape of coral reef / caribbean sea / curacao with various hard and soft corals, sponges"
1013788766,https://ak.picdn.net/shutterstock/videos/1013788766/preview/stock-footage-green-field-close-up-of-barley-blowing-in-the-wind.mp4,PT00H00M22S,Green field close up of barley blowing in the wind
1031365682,https://ak.picdn.net/shutterstock/videos/1031365682/preview/stock-footage-boy-in-the-water-park-rides-the-slides-and-jumps-into-the-pool-the-guy-is-blond-or-red-father-and.mp4,PT00H00M36S,Boy in the water park rides the slides and jumps into the pool. the guy is blond or red. father and son on a water slide in the water park
1014113975,https://ak.picdn.net/shutterstock/videos/1014113975/preview/stock-footage-black-currant-crop.mp4,PT00H00M17S,Black currant crop
1008782555,https://ak.picdn.net/shutterstock/videos/1008782555/preview/stock-footage-abstract-bright-color-background-drops-of-multicolored-paint-colliding-and-forming-beautiful.mp4,PT00H00M17S,"Abstract bright color background. drops of multicolored paint colliding and forming beautiful splashes, isolated on black"
25534,https://ak.picdn.net/shutterstock/videos/25534/preview/stock-footage-zooming-in-on-grapes-on-vine.mp4,PT00H00M11S,Zooming in on grapes on vine
1062211597,https://ak.picdn.net/shutterstock/videos/1062211597/preview/stock-footage-aerial-top-view-of-a-beautiful-waterfall-and-river-travel-to-the-kamchatka-peninsula-beautiful.mp4,PT00H00M10S,Aerial top view of a beautiful waterfall and river. travel to the kamchatka peninsula. beautiful place. stunning autumn landscape.
1023956678,https://ak.picdn.net/shutterstock/videos/1023956678/preview/stock-footage-nice-france-june-time-lapse-aerial-view-of-luxury-yacht-docked-in-nice-port-cote-d-azur.mp4,PT00H00M15S,"Nice, france - june 23, 2011 time lapse aerial view of luxury yacht docked in nice port cote d'azur landmark"
1028805368,https://ak.picdn.net/shutterstock/videos/1028805368/preview/stock-footage-two-small-red-beetles-firebug-pull-each-other-top-view.mp4,PT00H00M12S,Two small red beetles firebug pull each other top view.
1051729318,https://ak.picdn.net/shutterstock/videos/1051729318/preview/stock-footage-mount-saint-helens-washington-the-stunning-scenery-of-a-rocky-mountains-during-golden-hours.mp4,PT00H00M09S,"Mount saint helens, washington - the stunning scenery of a rocky mountains during golden hours - wide shot"
1018923682,https://ak.picdn.net/shutterstock/videos/1018923682/preview/stock-footage-blurred-city-street-view-city-traffic-light.mp4,PT00H00M11S,Blurred city street view. city traffic light
1052565473,https://ak.picdn.net/shutterstock/videos/1052565473/preview/stock-footage-group-of-people-cycling-on-a-trail-next-to-a-river.mp4,PT00H00M37S,Group of people cycling on a trail next to a river.
1008747824,https://ak.picdn.net/shutterstock/videos/1008747824/preview/stock-footage-salvan-village-from-the-air-aerial-k.mp4,PT00H00M28S,Salvan village from the air - aerial 4k
1040274026,https://ak.picdn.net/shutterstock/videos/1040274026/preview/stock-footage-aerial-view-of-a-high-peak-in-indian-himalayas-with-the-sun-behind-some-clouds-over-the-mountain-in.mp4,PT00H00M08S,Aerial view of a high peak in indian himalayas with the sun behind some clouds over the mountain in the winter with snow.
17643496,https://ak.picdn.net/shutterstock/videos/17643496/preview/stock-footage-tomato-sauce-boiling.mp4,PT00H00M12S,Tomato sauce boiling
33874699,https://ak.picdn.net/shutterstock/videos/33874699/preview/stock-footage-patuxai-victory-gate-or-gate-of-triumph-is-a-war-monument-in-vientiane-capital-laos-which-was.mp4,PT00H00M19S,"Patuxai (victory gate or gate of triumph) is a war monument in vientiane capital, laos, which was built between 1957 and 1968. it is variously transliterated as patuxai, patuxay, patousai and patusai"
12104420,https://ak.picdn.net/shutterstock/videos/12104420/preview/stock-footage-ebru-art-to-perform-and-give-lessons-to-students.mp4,PT00H00M11S,Ebru art to perform and give lessons to students
1024408280,https://ak.picdn.net/shutterstock/videos/1024408280/preview/stock-footage-airplane-landing-chepstow.mp4,PT00H00M08S,Airplane landing chepstow
17468389,https://ak.picdn.net/shutterstock/videos/17468389/preview/stock-footage-panning-seascape-footage.mp4,PT00H00M11S,Panning seascape footage.
4406207,https://ak.picdn.net/shutterstock/videos/4406207/preview/stock-footage-coconut-palm-in-the-wind.mp4,PT00H00M20S,Coconut palm in the wind
1013982629,https://ak.picdn.net/shutterstock/videos/1013982629/preview/stock-footage-a-family-playing-frisbee-golf-with-one-of-the-sons-playing-with-a-disc-in-the-basket-shot-on-a.mp4,PT00H00M16S,A family playing frisbee golf with one of the sons playing with a disc in the basket. shot on a blackmagic ursa mini pro 4.6k with a sigma 50-100mm f/1.8.
